doctor_name,Speciality,Ratings,Location,timing,Availability
Dr. Naina Kapoor,Oncologist,4,Cuttack,20:15 - 22:45,"Monday,Tuesday"
Dr. Abhay Chatterjee,Diagnostic Radiologist,4.8,Kochi,20:45 - 23:15,"Tuesday, Wednesday"
Dr. Anjali Mehra,Pediatric Nurse Practitioner,3.7,Thiruvananthapuram,21:15 - 23:15,"Wednesday, Thursday"
Dr. Akash Gupta,Psychologist,3.1,Durgapur,21:45 - 24:00,"Wednesday, Friday"
Dr. Shruti Singh,Reproductive Endocrinologist,5,Asansol,22:15 - 24:00,"Monday,Tuesday"
Dr. Aman Kapoor,Gynecologist,3.5,Nanded,22:45 - 24:00,"Monday,Tuesday"
Dr. Priyanka Patel,Urological Surgeon,3.1,Kolhapur,09:00 - 11:15,"Tuesday, Wednesday"
Dr. Rohan Reddy,Urologist,3.9,Dehradun,09:15 - 11:45,"Wednesday, Thursday"
Dr. Sneha Sharma,Neurosurgeon,4.4,Gulbarga,09:45 - 12:15,"Friday, Tuesday"
Dr. Karthik Patel,Sleep Medicine Specialist,4.8,Jamnagar,10:15 - 12:45,"Monday,Tuesday"
Dr. Aishwarya Singh,Midwife,4.5,Ujjain,10:30 - 13:00,"Tuesday, Wednesday"
Dr. Sameer Mehta,Radiation Oncologist,3.8,Siliguri,10:45 - 13:45,"Monday, Thursday"
Dr. Tanvi Verma,Oral Surgeon,3.7,Jhansi,11:15 - 14:15,"Tuesday, Thursday"
Dr. Arjun Mehra,Orthodontist,4.4,Durg-Bhilai Nagar,11:45 - 14:15,"Friday, Tuesday"
Dr. Ananya Singh,Pediatric Sports Medicine Specialist,3.1,Tirupur,12:15 - 15:45,"Thursday, Friday"
Dr. Rahul Desai,Geriatrician,4.9,Guntur,12:45 - 15:15,"Wednesday, Friday"
Dr. Kritika Kapoor,Plastic Surgeon,4.6,Gorakhpur,13:15 - 16:45,"Monday,Tuesday"
Dr. Rohit Sharma,Laryngologist,3.8,Saharanpur,13:45 - 16:45,"Tuesday, Wednesday"
Dr. Anjali Patel,Podiatrist,3.3,Bhatpara,14:15 - 17:15,"Wednesday, Thursday"
Dr. Aditya Singh,Foot & Ankle Specialist,3.3,Bhilwara,14:45 - 17:45,"Friday, Tuesday"
Dr. Nisha Mehra,Psychotherapist,3.1,Kakinada,15:15 - 17:45,"Thursday, Friday"
Dr. Vikrant Sharma,Pulmonary Diseases and Critical Care Medicine Specialist,3.5,Davanagere,15:45 - 18:15,"Tuesday, Thursday"
Dr. Priya Chatterjee,Pediatric Orthopedic Surgeon,3.5,Kozhikode,16:15 - 19:45,"Wednesday, Friday"
Dr. Arjun Verma,Hand & Microsurgery Specialist,4.3,Maheshtala,16:45 - 19:15,"Monday,Tuesday"
Dr. Shruti Reddy,Hip and Knee Surgeon,4.2,Rajpur Sonarpur,17:15 - 20:15,"Wednesday, Friday"
Dr. Karan Kapoor,Anesthesiologist,4.5,Rajahmundry,17:45 - 20:45,"Monday,Tuesday"
Dr. Pooja Sharma,Radiologist,3.9,Bokaro Steel City,18:15 - 20:45,"Tuesday, Wednesday"
Dr. Rohan Choudhary,Shoulder & Elbow Surgeon,4.9,South Dumdum,18:45 - 21:45,"Wednesday, Thursday"
Dr. Shivani Verma,Clinical Neurophysiologist,3.4,Bellary,19:15 - 21:45,"Monday, Thursday"
Dr. Sahil Singh,Colorectal Surgeon,4.8,Patiala,19:45 - 22:45,"Tuesday, Thursday"
Dr. Anushka Mehra,Vascular Surgeon,4.7,Gopalpur,20:15 - 23:15,"Friday, Tuesday"
Dr. Nikhil Chatterjee,Travel Medicine Specialist,4.3,Agartala,20:45 - 23:15,"Thursday, Friday"
Dr. Nandini Singh,Endocrinologist,4.8,Muzaffarnagar,21:15 - 23:45,"Tuesday, Thursday"
Dr. Rohit Mehta,Endocrinology,3.7,Latur,21:45 - 24:00,"Wednesday, Friday"
Dr. Aarti Kapoor,Pain Management Specialist,3.9,Hyderabad,22:15 - 24:00,"Monday,Tuesday"
Dr. Aditya Verma,Audiologist,4.9,Pune,22:45 - 24:00,"Tuesday, Wednesday"
Dr. Natasha Mehra,Oncology,3.7,Ahmedabad,09:00 - 11:30,"Tuesday, Thursday"
Dr. Ravi Singh,Neurosurgeon,3.3,Jaipur,09:30 - 11:30,"Monday, Thursday"
Dr. Ishita Choudhary,Facial Plastic & Reconstructive Surgeon,4.2,Surat,10:00 - 12:15,"Tuesday, Thursday"
Dr. Kartik Mehra,Oral Surgeon,4.3,Lucknow,10:15 - 12:30,"Friday, Tuesday"
Dr. Tanvi Singh,Psychiatry/Psychology,3,Kanpur,10:45 - 13:15,"Thursday, Friday"
Dr. Arjun Sharma,Adult Psychiatric & Mental Health Nurse Practitioner,3.3,Ahmedabad,11:15 - 13:15,"Wednesday, Friday"
Dr. Ananya Mehra,Refractive Surgeon,3.4,Surat,11:30 - 13:45,"Monday,Tuesday"
Dr. Rahul Choudhary,Head & Neck Surgeon,4.3,Jaipur,12:00 - 14:15,"Tuesday, Wednesday"
Dr. Kritika Mehra,Pulmonary Diseases and Critical Care Medicine Specialist,3.3,Lucknow,12:30 - 14:45,"Wednesday, Friday"
Dr. Rishabh Chatterjee,Neurosurgeon,3.4,Kanpur,13:00 - 15:15,"Monday,Tuesday"
Dr. Sneha Mehra,Glaucoma Specialist,4.9,Nagpur,13:30 - 15:45,"Monday,Tuesday"
Dr. Rohan Sharma,Dermatologist,5,Visakhapatnam,14:00 - 16:30,"Tuesday, Wednesday"
Dr. Priyanka Mehra,Pediatrician,3.5,Indore,14:30 - 16:30,"Wednesday, Thursday"
Dr. Aman Chatterjee,Anesthesiologist,3.5,Thane,15:00 - 17:30,"Friday, Tuesday"
Dr. Anjali Singh,General Practitioner/Family Medicine Physician,3.4,Ludhiana,15:30 - 17:30,"Monday,Tuesday"
Dr. Aditya Mehra,Periodontist,4.6,Vijayawada,16:00 - 18:30,"Tuesday, Wednesday"
Dr. Shivani Singh,Diagnostic Radiologist,3.9,Kanpur,16:30 - 18:30,"Monday, Thursday"
Dr. Akash Mehra,Endodontist,3.5,Amritsar,17:00 - 19:30,"Tuesday, Thursday"
Dr. Ananya Choudhary,Pediatric Otolaryngologist,3.7,Dehradun,17:30 - 19:30,"Friday, Tuesday"
Dr. Rohit Singh,Orthopedic Surgeon,4.4,Guwahati,18:00 - 20:30,"Thursday, Friday"
Dr. Naina Mehra,Colorectal Surgeon,4.7,Raipur,18:30 - 20:30,"Wednesday, Friday"
Dr. Karan Choudhary,Psychotherapist,4.1,Varanasi,19:00 - 21:30,"Monday,Tuesday"
Dr. Pooja Singh,Allergist,3.1,Bhubaneswar,19:30 - 21:30,"Tuesday, Wednesday"
Dr. Sahil Mehra,Psychotherapist,3.4,Jabalpur,20:00 - 22:30,"Wednesday, Thursday"
Dr. Aishwarya Chatterjee,Pediatrician,4.8,Jodhpur,20:30 - 22:30,"Tuesday, Wednesday"
Dr. Sameer Mehra,Prosthodontist,4.5,Mumbai,21:00 - 23:00,"Wednesday, Thursday"
Dr. Tanvi Mehra,Oncologist,3.4,Delhi,21:30 - 23:00,"Friday, Tuesday"
Dr. Aditya Chatterjee,Cardiologist,4,Bangalore,22:00 - 24:00,"Thursday, Friday"
Dr. Riya Mehra,Optometrist,4.1,Kolkata,22:30 - 24:00,"Tuesday, Thursday"
Dr. Karthik Choudhary,Hand Surgeon,3.1,Chennai,23:00 - 24:00,"Wednesday, Friday"
Dr. Sneha Chatterjee,Emergency Medicine Physician,3.9,Hyderabad,09:00 - 11:15,"Monday,Tuesday"
Dr. Rohan Mehra,Laryngologist,3.3,Pune,09:30 - 11:30,"Tuesday, Wednesday"
Dr. Kritika Choudhary,Diagnostic Radiologist,3.5,Ahmedabad,10:00 - 11:30,"Monday, Wednesday"
Dr. Rohit Chatterjee,Facial Plastic & Reconstructive Surgeon,3.5,Lucknow,10:15 - 11:45,"Tuesday, Thursday"
Dr. Shivani Mehra,Gastroenterologist,4.9,Kanpur,10:30 - 12:30,"Monday, Thursday"
Dr. Sahil Choudhary,Periodontist,3.9,Nagpur,10:45 - 12:45,"Tuesday, Thursday"
Dr. Ananya Chatterjee,OB-GYN,4.2,Visakhapatnam,11:15 - 13:15,"Monday, Friday"
Dr. Aditya Mehra,Pediatric Orthopedic Surgeon,3.1,Indore,11:45 - 13:45,"Monday, Wednesday"
Dr. Tanvi Mehra,Shoulder & Elbow Surgeon,3.5,Thane,12:15 - 14:45,"Tuesday, Thursday"
Dr. Sanjay Kumar,Pediatric Dentist,4.9,Bhopal,12:45 - 14:15,"Monday,Tuesday"
Dr. Neha Sharma,Emergency Medicine Physician,3,Patna,13:15 - 15:45,"Monday,Tuesday"
Dr. Arvind Patel,Oculoplastic Surgeon,4.4,Vadodara,13:45 - 15:15,"Tuesday, Wednesday"
Dr. Priya Gupta,Psychotherapist,4,Ghaziabad,14:15 - 16:45,"Wednesday, Thursday"
Dr. Rahul Singhania,Shoulder & Elbow Surgeon,3.8,Ludhiana,14:45 - 16:45,"Friday, Tuesday"
Dr. Sneha Verma,Neurosurgeon,4,Agra,15:15 - 17:15,"Monday,Tuesday"
Dr. Vikram Khanna,Gynecologist,3.9,Nashik,15:45 - 18:15,"Tuesday, Wednesday"
Dr. Anjali Kapoor,Emergency Medicine Physician,3.3,Faridabad,16:15 - 18:45,"Monday, Thursday"
Dr. Rohit Malhotra,Oral Surgeon,3.9,Meerut,16:45 - 18:45,"Tuesday, Thursday"
Dr. Nisha Desai,Spine Specialist,3.8,Mumbai,17:15 - 19:15,"Friday, Tuesday"
Dr. Rajesh Gupta,Pediatrician,4.4,Delhi,17:45 - 20:45,"Thursday, Friday"
Dr. Aarti Sharma,Gastroenterologist,3.1,Bangalore,18:15 - 20:45,"Tuesday, Thursday"
Dr. Aniket Reddy,Endocrinologist,4.4,Kolkata,18:45 - 21:45,"Wednesday, Friday"
Dr. Kavya Bansal,Oculoplastic Surgeon,3.2,Chennai,19:15 - 21:45,"Monday,Tuesday"
Dr. Manoj Joshi,Midwife,4.3,Kakinada,19:45 - 22:45,"Tuesday, Wednesday"
Dr. Shreya Singh,Hand & Microsurgery Specialist,4.3,Davanagere,20:15 - 22:45,"Monday,Tuesday"
Dr. Ajay Mishra,Orthodontist,3.8,Kozhikode,20:45 - 23:15,"Tuesday, Wednesday"
Dr. Tanvi Chawla,Oncologist,4.5,Maheshtala,21:15 - 23:15,"Wednesday, Thursday"
Dr. Arjun Kumar,Oculoplastic Surgeon,4.3,Rajpur Sonarpur,21:45 - 24:00,"Friday, Tuesday"
Dr. Preeti Sharma,Hand Surgeon,3.7,Rajahmundry,22:15 - 24:00,"Tuesday, Thursday"
Dr. Vivek Sharma,Pediatric Dentist,4.3,Bokaro Steel City,22:45 - 24:00,"Wednesday, Friday"
Dr. Ritu Jain,Anesthesiologist,3.5,South Dumdum,12:30 - 14:45,"Monday,Tuesday"
Dr. Aditya Mehra,Colorectal Surgeon,4,Bellary,13:00 - 15:15,"Tuesday, Wednesday"
Dr. Meera Patel,Plastic Surgeon,3,Patiala,13:30 - 15:45,"Wednesday, Thursday"
Dr. Rohan Verma,Oculoplastic Surgeon,3.3,Gopalpur,14:00 - 16:30,"Monday, Thursday"
Dr. Nandini Choudhary,Plastic Surgeon,4.1,Agartala,14:30 - 16:30,"Tuesday, Thursday"
Dr. Akash Kumar,Refractive Surgeon,4.9,Muzaffarnagar,15:00 - 17:30,"Friday, Tuesday"
Dr. Ananya Singh,Anesthesiologist,3.6,Latur,15:30 - 17:30,"Thursday, Friday"
Dr. Sahil Gupta,Pediatric Orthopedic Surgeon,3.3,Hyderabad,16:00 - 18:30,"Tuesday, Thursday"
Dr. Priyanka Mehra,Colorectal Surgeon,4.7,Pune,16:30 - 18:30,"Wednesday, Friday"
Dr. Ankit Sharma,Cardiologist,4.7,Ahmedabad,17:00 - 19:30,"Monday,Tuesday"
Dr. Kritika Kapoor,Neurosurgeon,3.4,Jaipur,17:30 - 19:30,"Tuesday, Wednesday"
Dr. Mohan Singh,Diagnostic Radiologist,3.5,Surat,18:00 - 20:30,"Monday, Wednesday"
Dr. Anushka Chatterjee,Plastic Surgeon,3.1,Surat,18:30 - 20:30,"Tuesday, Thursday"
Dr. Sameer Kumar,Hand Surgeon,3.6,Lucknow,19:00 - 21:30,"Tuesday, Thursday"
Dr. Riya Khanna,Endocrinologist,3.1,Kanpur,19:30 - 21:30,"Friday, Tuesday"
Dr. Vikrant Singh,Clinical Neurophysiologist,4.8,Nagpur,20:00 - 22:30,"Thursday, Friday"
Dr. Sneha Mehra,Hematologist,3.3,Visakhapatnam,20:30 - 22:30,"Tuesday, Thursday"
Dr. Arjun Gupta,Psychotherapist,4.5,Indore,21:00 - 23:00,"Wednesday, Friday"
Dr. Natasha Kapoor,Facial Plastic & Reconstructive Surgeon,3.7,Thane,21:30 - 23:00,"Monday,Tuesday"
Dr. Ravi Sharma,Diagnostic Radiologist,4.7,Bhopal,22:00 - 24:00,"Tuesday, Wednesday"
Dr. Aditi Reddy,Shoulder & Elbow Surgeon,3.7,Ujjain,09:00 - 5:00,"Monday,Tuesday"
Dr. Deepak Patel,Psychotherapist,3.6,Siliguri,10:00 - 12:00,"Tuesday, Wednesday"
Dr. Shruti Gupta,Pediatric Otolaryngologist,4.4,Jhansi,14:00 - 18:00,"Wednesday, Thursday"
Dr. Karan Singh,Hand Surgeon,4.5,Durg-Bhilai Nagar,09:00 - 10:30,"Friday, Tuesday"
Dr. Naina Sharma,Neurosurgeon,3.7,Tirupur,11:45 - 15:45,"Thursday, Friday"
Dr. Rajat Verma,Neurosurgeon,3.5,Guntur,17:20 - 20:40,"Tuesday, Thursday"
Dr. Ishita Singh,OB-GYN,3.9,Gorakhpur,21:15 - 24:00,"Monday, Wednesday"
Dr. Akshay Khurana,Cardiologist,3.7,Saharanpur,09:00 - 10:45,"Tuesday, Thursday"
Dr. Ayesha Choudhary,Oncologist,3.4,Bhatpara,09:15 - 11:45,"Wednesday, Friday"
Dr. Rohit Mehra,Neurosurgeon,5,Bhilwara,09:45 - 12:15,"Monday,Tuesday"
Dr. Swati Bansal,Refractive Surgeon,3.9,Kakinada,10:15 - 12:45,"Tuesday, Wednesday"
Dr. Vikas Reddy,Neurosurgeon,3.4,Davanagere,10:30 - 13:00,"Wednesday, Thursday"
Dr. Anjali Malhotra,Laryngologist,4.9,Kozhikode,10:45 - 13:45,"Wednesday, Friday"
Dr. Abhishek Kumar,Urological Surgeon,4.7,Maheshtala,11:15 - 14:15,"Monday,Tuesday"
Dr. Priya Khanna,Optometrist,3.1,Delhi,11:45 - 14:15,"Monday,Tuesday"
Dr. Surya Gupta,Oral Surgeon,3.6,Bangalore,12:15 - 15:45,"Tuesday, Wednesday"
Dr. Ritu Patel,Diagnostic Radiologist,4.2,Kolkata,13:30 - 15:45,"Wednesday, Thursday"
Dr. Aniket Singh,Vascular Surgeon,3.5,Chennai,14:00 - 16:30,"Friday, Tuesday"
Dr. Neha Kapoor,Psychotherapist,4.1,Hyderabad,14:30 - 16:30,"Monday,Tuesday"
Dr. Rohan Sharma,Hand & Microsurgery Specialist,4.7,Pune,15:00 - 17:30,"Tuesday, Wednesday"
Dr. Tanvi Joshi,Plastic Surgeon,3.2,Ahmedabad,15:30 - 17:30,"Monday, Thursday"
Dr. Aditya Verma,Neurosurgeon,3.5,Jaipur,16:00 - 18:30,"Tuesday, Thursday"
Dr. Pooja Khurana,Adult Psychiatric & Mental Health Nurse Practitioner,3.8,Surat,16:30 - 18:30,"Friday, Tuesday"
Dr. Ankit Gupta,Neurosurgeon,5,Lucknow,17:00 - 19:30,"Tuesday, Thursday"
Dr. Shweta Singh,Pediatric Dentist,4,Kanpur,17:30 - 19:30,"Wednesday, Friday"
Dr. Abhinav Sharma,Hand Surgeon,3.9,Nagpur,18:00 - 20:30,"Monday,Tuesday"
Dr. Natasha Mehra,Neurosurgeon,3.4,Visakhapatnam,18:30 - 20:30,"Tuesday, Wednesday"
Dr. Yash Singh,Emergency Medicine Physician,3.5,Indore,19:00 - 21:30,"Monday, Wednesday"
Dr. Nisha Verma,Adult Psychiatric & Mental Health Nurse Practitioner,4.8,Thane,19:30 - 21:30,"Tuesday, Thursday"
Dr. Arvind Khanna,Shoulder & Elbow Surgeon,3.9,Bhopal,20:00 - 22:30,"Monday, Thursday"
Dr. Priyanka Singh,Midwife,3.6,Patna,20:30 - 22:30,"Tuesday, Thursday"
Dr. Rohit Choudhary,Clinical Neurophysiologist,5,Vadodara,21:00 - 23:00,"Monday, Friday"
Dr. Kritika Khanna,Anesthesiologist,4.2,Ghaziabad,21:30 - 23:00,"Monday, Wednesday"
Dr. Mohit Sharma,Oculoplastic Surgeon,3.3,Ludhiana,22:00 - 24:00,"Tuesday, Thursday"
Dr. Anjali Bansal,Laryngologist,4.8,Agra,13:30 - 15:45,"Monday,Tuesday"
Dr. Ravi Verma,Dermatologist,4,Nashik,14:00 - 16:30,"Monday,Tuesday"
Dr. Ananya Khurana,Glaucoma Specialist,4.3,Faridabad,14:30 - 16:30,"Tuesday, Wednesday"
Dr. Sameer Verma,Pediatric Dentist,3.3,Meerut,15:00 - 17:30,"Wednesday, Thursday"
Dr. Shivani Gupta,Oculoplastic Surgeon,4.5,Mumbai,15:30 - 17:30,"Friday, Tuesday"
Dr. Akash Choudhary,Pediatrician,4.3,Delhi,16:00 - 18:30,"Monday,Tuesday"
Dr. Anushka Mehra,Gastroenterologist,3.7,Bangalore,16:30 - 18:30,"Friday, Tuesday"
Dr. Rahul Kapoor,Allergist,4,Kolkata,17:00 - 19:30,"Thursday, Friday"
Dr. Sneha Sharma,Oncology,3.3,Chennai,17:30 - 19:30,"Tuesday, Thursday"
Dr. Rohan Khanna,Pediatric Otolaryngologist,3.1,Hyderabad,18:00 - 20:30,"Wednesday, Friday"
